Timestamp,Attentiveness
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:51,Not Attentive (Eyes Closed)
23:34:52,Not Attentive (Eyes Closed)
23:34:52,Not Attentive (Eyes Closed)
23:34:52,Not Attentive (Eyes Closed)
23:34:52,Not Attentive (Eyes Closed)
23:34:52,Not Attentive (Eyes Closed)
23:34:52,Not Attentive (Eyes Closed)
23:34:52,Not Attentive (Eyes Closed)
23:34:52,Not Attentive (Eyes Closed)
23:34:52,Not Attentive (Eyes Closed)
23:34:52,Not Attentive (Eyes Closed)
23:34:52,Attentive
23:34:52,Attentive
23:34:52,Attentive
23:34:52,Attentive
23:34:52,Not Attentive (Eyes Closed)
23:34:52,Not Attentive (Eyes Closed)
23:34:52,Not Attentive (Eyes Closed)
23:34:52,Not Attentive (Eyes Closed)
23:34:52,Not Attentive (Eyes Closed)
23:34:52,Not Attentive (Eyes Closed)
23:34:52,Not Attentive (Eyes Closed)
23:34:52,Not Attentive (Eyes Closed)
23:34:52,Attentive
23:34:52,Attentive
23:34:52,Attentive
23:34:52,Attentive
23:34:52,Attentive
23:34:52,Attentive
23:34:52,Attentive
23:34:52,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
23:34:53,Attentive
